pred,pred_rev_comp,Score,rescaled,pred_mf
69.80926743,42.44897959,64.56888741,100.0,71.30452978496434
62.90467536,31.02040816,49.07252907,77.48308537,62.8829886198404
60.0650268,48.97959184,60.45419429,68.22256377,60.749538582156035
57.67582757,62.85714286,46.49742247,60.43102522,60.27723547835794
61.74487231,41.17978853,52.90905517,73.70079295,56.93047599147125
50.39511497,48.71816327,61.735264,36.68752489,54.4833434752601
60.90103791,67.75510204,49.0276052,70.94892189,60.15795842915413
64.23029165,33.46938776,61.29844913,81.80611977,70.47350959452976
46.38570593,40.81632653,61.33092105,23.61223819,47.034147137217076
45.67200228,67.75510204,58.66956961,21.28474308,52.94483340171074
56.59398246,77.55102041,51.44470025,56.90296539,47.91232058761413
41.90500573,36.73469388,27.18518585,9.0,35.48165616383457
52.94418772,79.18367347,59.29682007,45.00043505,42.97218463096594
50.05063015,27.75510204,50.79910785,35.56410803,52.925680601262634
44.83235662,73.46938776,27.05412036,18.54653212,36.5535560426175
68.46043277,71.83673469,61.50461015,95.60124704,54.25498142961935
43.83103248,49.79591837,47.56490298,15.2810633,51.965546998360004
64.65787361,44.08163265,62.7411708,83.20052891,63.8642693244922
58.35538409,62.85714286,54.7636681,62.6471614,62.09503595256162
59.84762638,73.46938776,62.79804358,67.51358823,66.82237843533177
48.37109435,29.3877551,54.0364229,30.08688883,43.8198397578001
50.67272828,19.26530612,36.92726699,37.59286371,52.5939921628477
50.50984688,84.32653061,58.2760644,37.06168296,68.40676213127938
50.50984688,90.20408163,58.2760644,37.06168296,68.40676213127938
50.36777943,53.95918367,49.89638854,36.59837959,61.040486964345355
50.36777943,59.26530612,49.89638854,36.59837959,61.040486964345355
42.54001895,54.69387755,54.81717074,11.07087375,46.01738476231137
44.40571222,9.387755102,39.56278308,17.15518048,45.52771528278357
43.84481521,100.0,53.04112671,15.32601087,35.22262457966757
