pred,rescaled_pred,val
46.1818,0.69,0.48
39.4557,0.60,0.29
50.507,0.75,0.52
17.3797,0.29,0.56
52.6423,0.78,0.47
57.6805,0.85,0.44
66.7981,0.98,0.88
60.8386,0.89,0.34
56.9649,0.84,0.53
60.3969,0.89,0.69
41.8871,0.63,1.00
30.4547,0.47,0.39
52.9442,0.78,0.77
50.0506,0.74,0.33
44.8324,0.67,0.72
68.4604,1.00,0.83
43.831,0.66,0.71
64.6579,0.95,0.63
58.3554,0.86,0.93
59.8476,0.88,0.82
48.3711,0.72,0.39
